Test Case,Avg Dispersion,Avg Distance to Goal,Avg Clustering Coefficient,Num Flocks
test_baseline,64.89653435344846,245.7168335722641,0.999046772945544,1
test_baseline,61.046095238750695,307.90149059886204,0.9990495050223089,1
test_baseline,62.747878838452365,383.7469665704999,0.9990493721452395,1
test_000,222.13108975379475,6734.167484604468,0.9781751015218768,2
test_000,85.1415674020883,6681.684812760069,0.997182439683167,2
test_000,208.62921302209307,6779.857814826889,0.9810145506381344,2
test_001,513.6410600784394,4280.584833182966,0.8318710377136139,4
test_001,55.65144875067742,6512.525813251223,0.9964413870772294,2
test_001,264.9014054503621,6410.198853599541,0.9488249853882826,2
test_002,51.83281807020821,6464.65355916701,0.9980486858944688,1
test_002,49.99922809449171,6486.687238061327,0.9981413059251608,1
test_002,347.8024346861062,5771.545904301535,0.8899425621379077,4
test_003,55.28636165325223,6402.0969129137675,0.997377316299576,2
test_003,56.78939107703596,6445.425991827596,0.9970270995361592,2
test_003,260.0172360100264,6231.918049435001,0.950684858767587,2
test_004,360.1436315642952,6311.190091456601,0.8992030185896858,8
test_004,80.92732606063373,7187.476253887399,0.995549521057687,3
test_004,91.24225761749616,7224.550475434239,0.991508733216896,5
test_005,46.658140212050085,7155.923244992777,0.9978870390059795,1
test_005,42.46295322062321,1806.8642894616498,0.9956140501508642,1
test_005,44.61548716115863,7167.861788449387,0.9979078164780252,1
test_006,106.36928177421596,7359.278541366001,0.9926196745245112,2
test_006,96.97775268011127,7370.956238836894,0.9934319727836771,2
test_006,61.249587414894506,7371.794647294472,0.9988382039834692,1
test_007,47.49120978926637,7182.326548256602,0.9976122857081331,1
test_007,211.37084317383454,7121.391234382681,0.9721119245322679,3
test_007,322.57357125352144,6921.387232404975,0.9404320204813118,2
test_008,40.39731701592373,3315.4536079305954,0.9972061984430319,1
test_008,39.92900346159775,2496.1509265307527,0.9971254244535044,1
test_008,42.65067956536318,3346.3206049809255,0.9968863380532591,1
test_009,43.133925026501494,5833.409172570648,0.9979378520994877,1
test_009,51.337618710261104,6106.3060164332865,0.9983164362158738,1
test_009,43.44918446749503,6126.061506043211,0.9977954586922079,1
test_010,525.1863558072112,6589.833397067644,0.9279810512134619,2
test_010,433.6592293474237,6438.687572144569,0.9429396907704994,2
test_010,532.8789829271534,6629.27345431872,0.9260951202672665,2
test_011,44.15755087761358,2295.3523220065968,0.9978865270592696,1
test_011,49.81481937914044,5951.6778882390445,0.9964391485253166,2
test_011,49.73794807391607,5974.123127437662,0.9982296611637879,1
test_012,38.15639636717811,4947.705255259897,0.9970065647764512,1
test_012,623.42500400705,4788.849182270383,0.81621481934068,2
test_012,45.90924921436096,4147.798042079099,0.9962426144315927,1
test_013,43.52929920237602,2961.76447783372,0.9979016159652101,1
test_013,157.9889035423962,5488.809147268229,0.9588860738028591,2
test_013,72.78630337246595,2024.477266023901,0.9846442495937079,2
test_014,631.3815899846168,5246.023729657666,0.8489765689127275,2
test_014,41.04290187330571,3823.974457619582,0.9972873260881191,1
test_014,37.74522637476487,3907.398668546894,0.9975282502046241,1
test_015,85.11571183407524,3120.5098870645297,0.9329049028547904,2
test_015,51.230086026873195,2348.5321828149454,0.9973792699606873,1
test_015,46.83481437690639,2325.2410451131964,0.997233719135304,1
test_016,61.673636064026674,7880.8222220361795,0.9980827854388148,1
test_016,50.91850795384125,7862.158238213013,0.9980489717363737,1
test_016,112.95981407850505,8031.642050904309,0.993599584119211,2
test_017,750.2607418481163,5318.293336582126,0.7858214736477306,6
test_017,393.4757524782215,4437.11577708403,0.9123373533129246,3
test_017,101.88750990053049,7938.942507784944,0.9912473311498651,2
test_018,545.6193187809513,6910.095359976967,0.8528347753047726,2
test_018,84.30788443398946,8048.004237616969,0.9961476125258504,2
test_018,172.13564420929262,7659.882733858529,0.9677299213800086,3
test_019,37.919618612493984,2126.8493311470556,0.9975241168521632,1
test_019,69.88617175181383,4018.3596628786827,0.9602927427978537,3
test_019,430.6972784685983,3436.0412165916496,0.8294064950114678,6
test_020,382.89616674583124,8575.09840533671,0.9173645200623253,3
test_020,146.18403631733617,4391.139842210293,0.9528776267569974,4
test_020,642.0272196857053,8147.853106221246,0.83959605079036,3
test_021,119.69040084973363,5487.628226927702,0.9624454763884058,2
test_021,208.7737865325435,8367.402724153608,0.9736099193378229,2
test_021,51.23766165650969,9146.735266110174,0.9954283723297777,3
test_022,74.20091969012749,9144.784533666372,0.9976895295780202,2
test_022,74.36999356687615,9195.155374286802,0.998154921394828,1
test_022,137.01718306120188,9201.11169575553,0.9927329206482407,2
test_023,546.8292409357833,8750.103278289562,0.9123881545069139,2
test_023,49.08014498630647,8971.73036335406,0.9980104333917242,1
test_023,51.05666121349274,8971.456420424844,0.9977124679304987,1
test_024,34.36242142848649,4219.07972932169,0.9971366549319293,1
test_024,34.00055231160133,4445.964066787594,0.9973384647299245,1
test_024,34.586030334166445,4258.368097674848,0.9970956225473756,1
test_025,46.95636885998295,7459.681627099384,0.9984462064168496,1
test_025,139.5041276687312,4249.648225202002,0.974418728738775,2
test_025,37.15057877882416,7559.715918028527,0.998051435292361,1
test_026,69.76252788143529,7983.773980701114,0.9923783519030495,2
test_026,50.73644339684069,8009.354639021776,0.9983768608209678,1
test_026,49.76347785985975,8025.109617486574,0.9985197605171829,1
test_027,812.136407574568,7090.302476323129,0.8071822833566463,2
test_027,1096.9768839551195,7138.631853602991,0.7103983589257438,2
test_027,758.8914143130107,7131.344348135681,0.8221869985304696,2
test_028,28.60106351140876,3817.365332072471,0.997551347087906,1
test_028,33.28073219502155,4472.78009938736,0.997396113140128,1
test_028,36.932381200384576,6645.764581779906,0.9973195657587269,1
test_029,232.39993981691862,3910.5264519972548,0.8689645758337784,2
test_029,41.24666936661185,7258.895366003978,0.9982864321455752,1
test_029,190.95736063755345,7097.597298298939,0.9692990005578828,4
test_030,36.303639906339505,4443.3602783993365,0.9969225799469762,1
test_030,274.2399826560539,5167.0423723033755,0.9241399190334131,2
test_030,224.10135259915938,6618.9770939259715,0.9379624043099969,2
test_031,36.75070968492506,2761.1902952093537,0.9980290228053499,1
test_031,38.56558506188794,3326.716618855506,0.9980273723781794,1
test_031,35.99552315846619,3274.6113974993987,0.9976652734107545,1
