Test Case,Avg Dispersion,Avg Distance to Goal,Avg Clustering Coefficient,Num Flocks
test_020,54.70310514069562,9019.836616122391,0.997576336229931,2
test_020,879.2248773178329,7224.917640441476,0.7328846418772429,2
test_020,140.86000756597608,9247.552330098837,0.9927330473919849,2
test_020,40.62934711273704,9008.75231936397,0.9981528010144993,2
test_021,320.544861753602,9000.807040106813,0.9546854134978735,2
test_021,381.9423078992453,9034.753431827156,0.9482264068401768,2
test_021,39.72193526625776,9169.704305742482,0.9981524904683561,1
test_021,41.86661782157852,9102.96185040181,0.9981261624814249,1
test_021,40.42141108647752,9166.88121464787,0.9980298708026977,1
test_022,348.90086811862597,7435.304736650583,0.9388672370856461,3
test_022,56.703510047293285,9062.224380852998,0.9981295562717218,1
test_022,45.89988689706124,8974.483508883784,0.9963640707215341,2
test_022,127.26821455938995,9305.434709575211,0.9932228205219304,2
test_022,201.8084307830853,9325.5249626908,0.9821107381825598,2
test_023,56.87756409812124,8929.887756243132,0.998288430133749,1
test_023,822.3433571743145,8615.104048719937,0.855190383189002,2
test_023,48.867097332735085,9000.592613891276,0.9982675753876444,1
test_023,405.4854146420331,8880.34285198833,0.9436039631392636,3
test_023,512.7457558361561,8694.558886915222,0.920045457681802,2
test_024,37.52566811591949,4333.766669644328,0.9969178404251574,1
test_024,36.840288500727276,2933.4272754016074,0.9967328705261563,1
test_024,34.46176368677628,3912.8447176881778,0.9971526784906537,1
test_024,33.90683761896288,5468.234192085008,0.997265565268798,1
test_024,34.20734984335476,3299.734942626506,0.9971361340816262,1
test_025,36.71980872268132,7574.530001630013,0.9981692997675022,1
test_025,39.85119399828887,7203.037671029585,0.9980119737112287,1
test_025,90.16233562955617,4436.688533251427,0.9832764076852215,2
test_025,39.869827847702176,7362.818821450805,0.9978049766151541,1
test_025,43.745355555427615,7437.140728809335,0.998396158880241,1
test_026,54.00514750784595,7974.56479186818,0.9984245559104887,1
test_026,595.148388765944,7980.2718429769775,0.9340906209918641,2
test_026,51.49272407648617,8003.557695938054,0.9985223403099883,1
test_026,62.01467911703131,8001.1567496148655,0.9966379398616985,2
test_026,100.26550023011951,8007.559091308291,0.9932841996365652,2
test_027,68.38491340035544,6841.718377400949,0.9981744421268376,1
test_027,1187.433726407347,7241.500741975997,0.6981041449328921,2
test_027,635.1198725254776,7072.20137047709,0.8582735269054828,2
test_027,398.62124513940125,6773.1440244739415,0.9128341523240127,2
test_027,289.02430206958655,6904.321592977082,0.9512562440447366,2
test_028,27.81185858088814,2959.509948742916,0.9973549350742429,1
test_028,31.272450529854684,3955.1656253371557,0.9970391168936804,1
test_028,30.268361021708976,2253.089374940101,0.9971795072812206,1
test_028,37.836787515604634,2793.614999280274,0.9966240776294815,1
test_028,31.1002352937952,4448.474454761487,0.9976664270149936,1
test_029,319.65281425614774,6938.369425022335,0.9430585790196503,2
test_029,244.6777084694043,3855.722325919819,0.9106307826045419,3
test_029,199.76147643289232,7398.051650852411,0.9445323123248386,2
test_029,404.28757528652926,5245.5665629521945,0.8459374450970819,3
test_029,94.97388849402684,3666.4585801942717,0.9600623447279493,5
test_030,532.7701264203762,7297.888777641913,0.9292457628459584,2
test_030,36.44880205146424,4529.673144930323,0.9969480705249456,1
test_030,43.327004285531984,5307.316342175173,0.995073126881322,1
test_030,32.72413145999912,5751.943296186805,0.9972336951355268,1
test_030,30.198701915296585,3249.7571531900608,0.9972888990819322,1
test_031,32.192226530714954,3322.435539022509,0.9981871892398871,1
test_031,34.037436320863904,4090.519117002057,0.9971399926275524,1
test_031,40.46920640880957,4046.824404931555,0.9934956642775427,3
test_031,37.95842629376254,4706.208345139983,0.9981909251318131,1
test_031,35.819029803154024,4293.620850536906,0.9981621163905976,1
