Test Case,Avg Dispersion,Avg Distance to Goal,Avg Clustering Coefficient,Num Flocks
test_008_wind_speed_4,182.51828729917818,1591.779159862975,0.9681601952655408,3
test_008_wind_speed_4,35.085352536378885,3018.7401510841514,0.9976593529594744,1
test_008_wind_speed_4,43.06374467646406,1437.5079778270315,0.9980996085667568,1
test_008_wind_speed_4,91.37482467215285,1625.6849496370937,0.990499630892237,4
test_008_wind_speed_4,40.97639686088737,2993.86795103472,0.989368315395399,2
test_008_wind_speed_13,34.24465374519361,4956.8800504255305,0.9991401061069564,1
test_008_wind_speed_13,34.125307694397485,4656.87929022075,0.9991819614506053,1
test_008_wind_speed_13,30.26912831704292,5182.6280981087575,0.9990787186532932,1
test_008_wind_speed_13,30.99453739115908,4956.076421259025,0.9991830252847977,1
test_008_wind_speed_13,28.887923231559146,5157.2346296708,0.9992179296798517,1
test_008_wind_speed_25,27.555602975561186,9447.237996925402,0.9996319746189215,1
test_008_wind_speed_25,32.01118318150098,9488.38627712357,0.999660738122045,1
test_008_wind_speed_25,27.73811139577791,9471.577799107667,0.9996248734339183,1
test_008_wind_speed_25,27.274205863392723,9985.118306125547,0.9996046497243953,1
test_008_wind_speed_25,38.81183112573997,9601.82561501015,0.9996242276579764,1
test_015_wind_speed_4,45.847083134254106,3295.933842481887,0.9973745055521115,1
test_015_wind_speed_4,49.96943777748294,3452.5928490478714,0.9984776293630485,1
test_015_wind_speed_4,277.81067890551503,4378.485716548912,0.9170585257001467,2
test_015_wind_speed_4,78.32897610982887,4366.289515170961,0.9890431582195878,2
test_015_wind_speed_4,51.66205703746616,4062.3759928901154,0.9965279592093846,2
test_015_wind_speed_13,361.99129017927777,4526.521608616977,0.946721477611775,5
test_015_wind_speed_13,602.5641482276892,2146.05891790735,0.9072092883521643,7
test_015_wind_speed_13,660.899467518812,2462.820886234052,0.7661763137322387,3
test_015_wind_speed_13,278.2907081696307,2937.6416408458585,0.8739132885554458,2
test_015_wind_speed_13,35.88940735628055,3245.8090861152855,0.9947035755375125,1
test_015_wind_speed_25,67.05301229071893,6108.654467835856,0.9997868652400741,1
test_015_wind_speed_25,66.61008132517185,5899.514037597208,0.9998005054240804,1
test_015_wind_speed_25,74.48525228877982,6001.143480243994,0.9997414011320068,3
test_015_wind_speed_25,71.93655530316806,5993.69692623035,0.9997807119863916,1
test_015_wind_speed_25,71.88491665524026,6108.39295612324,0.9997382900237712,3
test_014_wind_speed_4,34.480091002263535,2037.0420075435964,0.9977667086974078,1
test_014_wind_speed_4,298.82498557297885,2322.943697499357,0.8818993668218206,2
test_014_wind_speed_4,31.099305104955434,1865.5600510593576,0.9984112473882311,1
test_014_wind_speed_4,35.412578515230365,1595.1674123016232,0.9982101866595453,1
test_014_wind_speed_4,32.659274140460376,1834.2301769333392,0.9982109147083098,1
test_014_wind_speed_13,335.5372989358677,3827.0719438962515,0.9589552148510259,3
test_014_wind_speed_13,31.347571479816608,4602.822894944033,0.999171394115342,1
test_014_wind_speed_13,30.27946721058616,5099.229487463466,0.9991933487441361,1
test_014_wind_speed_13,39.863543090454804,4735.485717439032,0.9990737756163763,1
test_014_wind_speed_13,28.733754484761334,4955.706817090505,0.9992258112255824,1
test_014_wind_speed_25,31.765473384089322,9035.97205450053,0.9996466008892027,1
test_014_wind_speed_25,35.46204623335365,8984.570712784967,0.9996692353514562,1
test_014_wind_speed_25,30.58160605034741,8919.830283369096,0.9996719111821817,2
test_014_wind_speed_25,32.967680024185974,8812.300655579838,0.9996757917774938,1
test_014_wind_speed_25,39.93615156914292,9023.092151920351,0.999643278889306,2
